Step,AvgDensity,AvgSpeed,MaxSpeed,TotalKineticEnergy,InvalidParticleCount
0,2249.04,2.05502,16.5582,470.81,0
1,33098.3,4.00527,25,893.217,0
2,32222.4,7.92013,25,2492.16,0
3,32627.8,12.2677,25,4635.18,0
4,32834.6,10.2923,25,3605.75,0
5,32037.4,12.2875,25,4579.63,0
6,29738.1,12.8462,25,4844.24,0
7,27632,12.8392,25,4854.54,0
8,27047.4,13.8368,25,5077.17,0
9,26600.8,14.252,25,5263.7,0
10,22696.9,14.2011,25,5139.14,0
11,19565.9,14.2396,25,5045.55,0
12,19134.9,13.9751,25,4877.07,0
13,16155.6,14.3857,25,5147.73,0
14,15422.4,14.4869,25,5194.79,0
15,17689.6,14.3505,25,5137.47,0
16,17408.5,14.63,25,5317.99,0
17,15456.3,14.8947,25,5418.13,0
18,14522.6,15.1622,25,5506.17,0
19,15075.7,14.9276,25,5472.68,0
20,12896.3,15.4068,25,5614.49,0
21,13723.5,14.616,25,5326.83,0
22,13180.1,14.8813,25,5344.02,0
23,12548.4,15.0189,25,5365.62,0
24,12513.7,15.3244,25,5546.55,0
25,12678,15.2076,25,5471.9,0
26,13568.9,15.2547,25,5530.78,0
27,14294.3,16.0259,25,5816.05,0
28,11584.7,15.7798,25,5679.53,0
29,11538.2,15.7632,25,5672.21,0
30,12369.3,15.6683,25,5649.18,0
31,12073.3,16.6375,25,6011.24,0
32,11391.5,16.0491,25,5700.24,0
33,11317.6,16.3809,25,5847.42,0
34,11137.5,16.6741,25,5951.35,0
35,11007.8,16.5782,25,5938.96,0
36,10573.6,16.6068,25,5896.52,0
37,10855.9,16.7756,25,5965.42,0
38,10247.8,16.5031,25,5852.03,0
39,10115.8,16.1739,25,5657.98,0
40,10262.9,17.0423,25,6051.58,0
41,10114.9,17.1497,25,6140.44,0
42,10101.4,16.9301,25,6056.66,0
43,10706.9,17.0676,25,6126.75,0
44,10167.7,17.1388,25,6188.4,0
45,9916.1,16.7745,25,5963.51,0
46,10138.2,16.5833,25,5871.4,0
47,10008.8,16.4636,25,5815.86,0
48,10244.6,15.6767,25,5523.65,0
49,10475.7,16.1387,25,5775.27,0
